section_id,auto_rule_label,auto_title,auto_start_pdf_page,auto_end_pdf_page,auto_start_printed_page,auto_end_printed_page,auto_confidence,auto_review_reasons,model_recommendation,model_scope,model_reason,human_decision,human_final_title,human_start_pdf_page,human_end_pdf_page,human_scope,human_evidence_note,human_reason,pdf_checked,student_confirmation,reviewer,review_date
SEC001,核心章节-发行人设立,二、发行人的设立情况,53,57,52,56,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,保留为“发行人设立情况”的总括章节；56-57页含股本演变图，需人工查看原PDF。,reference_only,二、发行人的设立情况,53,57,reference,PDF第53页出现“二、发行人的设立情况”，后续依次披露整体变更设立、云汉有限设立及股本演变图；PDF第58页开始“股份公司设立后的股东变化情况”。,该记录是设立部分的父级总括范围，保留作导航和证据索引，具体事实由SEC002-SEC004承载。,yes,confirmed,lzr,2026-07-13
SEC002,核心章节-设立与股本演变子章节,（一）发行人的设立方式,53,54,52,53,high,,keep,core,属于设立方式，直接支撑整体变更和股份公司设立。,adjust,（一）发行人的设立方式,53,55,core,"PDF第53页开始“（一）发行人的设立方式”；第54页披露净资产折股为4,000万股并开始发起人表，第55页续完发起人表后才进入下一小节。",自动范围漏掉第55页的发起人持股表续页，人工将范围由53-54调整为53-55。,yes,confirmed,lzr,2026-07-13
SEC003,核心章节-设立与股本演变子章节,（二）云汉有限的设立情况,55,55,54,54,high,,keep,core,属于有限公司设立及初始股权结构。,adjust,（二）云汉有限的设立情况,55,56,core,PDF第55页出现“（二）云汉有限的设立情况”，披露2008年注册资本50万元及两名股东各认缴25万元；设立时出资比例表延续到第56页。,自动范围仅含第55页，未覆盖第56页的设立时出资结构表，人工调整为55-56。,yes,confirmed,lzr,2026-07-13
SEC004,核心章节-设立与股本演变子章节,（三）云汉有限设立以来股本演变情况,56,57,55,56,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,股本演变图是理解历史变化链条的重要证据，但文本层可能不完整。,adjust,（三）云汉有限设立以来股本演变情况,56,58,core,PDF第56页出现“（三）云汉有限设立以来股本演变情况”及“转下图”，第57页为“续上图”，第58页仍有股本演变图续页，随后才进入第三部分。,纯文本不能完整表达图形，且图示延续到第58页，人工将范围由56-57调整为56-58。,yes,confirmed,lzr,2026-07-13
SEC005,核心章节-股份公司设立后的股东变化,三、发行人股份公司设立后的股东变化情况,58,71,57,70,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,是股份公司设立后股东变化的总括章节，覆盖后续多轮增资和转让。,reference_only,三、发行人股份公司设立后的股东变化情况,58,71,reference,PDF第58页出现“三、发行人股份公司设立后的股东变化情况”，其下包含多轮转让、增资、对赌条款解除等内容；PDF第72页开始“四、发行人重大资产重组情况”。,该记录是股份公司设立后股东变化的父级总括章节，保留作导航，具体核心事件由SEC006-SEC010承载。,yes,confirmed,lzr,2026-07-13
SEC006,核心事件章节-股权转让,（一）2018 年4 月，股份公司第一次股权转让,58,58,57,57,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,标题明确为第一次股权转让，PDF第58页有转让协议、数量、比例和转让后结构。,adjust,（一）2018 年4 月，股份公司第一次股权转让,58,59,core,"PDF第58页标题为“2018年4月，股份公司第一次股权转让”，正文披露丰利财富向天健创投转让666,680股、占总股本1.67%；转让后股权结构表续至第59页。",自动结果只定位第58页，未覆盖第59页的转让后结构表，人工调整为58-59。,yes,confirmed,lzr,2026-07-13
SEC007,核心事件章节-增资与股权转让混合披露,（二）2018 年6 月至7 月，股份公司增加注册资本暨第二次股权转让,59,60,58,59,high,区间含图表/续表提示，应人工检查跨页边界；单个标题可能同时包含多个业务事件，需要后续事件切分,keep,core,同一标题同时披露增资和第二次股权转让，应保留章节范围，后续切成两个事件包。,adjust,（二）2018 年6 月至7 月，股份公司增加注册资本暨第二次股权转让,59,61,core,PDF第59页开始“2018年6月至7月，股份公司增加注册资本暨第二次股权转让”；第60页披露两次工商变更及增资后股权表，第61页续完该表后才进入第三次转让。,该小节同时包含增资和股权转让，且股权结构表跨至第61页，人工将范围由59-60调整为59-61，后续事件阶段再拆分。,yes,confirmed,lzr,2026-07-13
SEC008,核心事件章节-股权转让,（三）2019 年8 月，股份公司第三次股权转让,61,61,60,60,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,标题明确为第三次股权转让，应保留。,adjust,（三）2019 年8 月，股份公司第三次股权转让,61,62,core,PDF第61页出现“2019年8月，股份公司第三次股权转让”，披露为赛咨询分别向李文发、秦国君转让40万股；转让后结构表延续到第62页。,自动范围漏掉第62页的转让后结构表续页，人工调整为61-62。,yes,confirmed,lzr,2026-07-13
SEC009,核心事件章节-增资或增加注册资本,（四）2020 年5 月，股份公司第二次增资,62,62,61,61,high,区间含图表/续表提示，应人工检查跨页边界,keep,core,标题明确为第二次增资，应保留。,adjust,（四）2020 年5 月，股份公司第二次增资,62,63,core,"PDF第62页出现“2020年5月，股份公司第二次增资”，披露注册资本由4,635万元增至4,748.0488万元，火炬电子认购113.0488万股；增资后股权结构表延续到第63页。",自动结果只含第62页，未覆盖第63页的增资后结构表续页，人工调整为62-63。,yes,confirmed,lzr,2026-07-13
SEC010,核心事件章节-增资与股权转让混合披露,（五）2020 年9 月，股份公司第三次增资和第四次股权转让,63,64,62,63,high,区间含图表/续表提示，应人工检查跨页边界；单个标题可能同时包含多个业务事件，需要后续事件切分,keep,core,同一标题同时披露第三次增资和第四次股权转让；第63-64页含多笔转让和变更后结构。,adjust,（五）2020 年9 月，股份公司第三次增资和第四次股权转让,63,65,core,PDF第63页出现“2020年9月，股份公司第三次增资和第四次股权转让”；第64页列示10笔转让明细并开始变更后股权结构，第65页续完结构表后进入“对赌协议解除”。,自动范围未覆盖第65页的变更后股权结构续表，人工调整为63-65；后续应将增资和多笔转让拆成不同事件包。,yes,confirmed,lzr,2026-07-13
SEC011,辅助章节-主要股东及实际控制人,七、发行人主要股东及实际控制人的基本情况,79,90,78,89,high,,reference_only,reference,主要股东及实际控制人用于核对主体身份和最终持股，但不是历史事件主体章节。,adjust,七、发行人主要股东及实际控制人的基本情况,79,91,reference,PDF第79页出现“七、发行人主要股东及实际控制人的基本情况”，第80页起介绍控股股东，第81页起介绍其他5%以上股东；PDF第91页在介绍中科贵银后开始下一节“八、发行人股本情况”。,该章节用于主体身份、持股及关联方核对，不是历史事件正文；自动结束页90漏掉第91页的章节收尾，人工调整为79-91。,yes,confirmed,lzr,2026-07-13
SEC012,辅助章节-主要股东及实际控制人,（一）公司控股股东及实际控制人,80,80,79,79,medium,,reference_only,reference,控股股东及实际控制人信息可用于主体核验。,reference_only,（一）公司控股股东及实际控制人,80,80,reference,PDF第80页标题为“（一）公司控股股东及实际控制人”，披露曾烨直接持股33.03%、通过为赛咨询间接控制2.16%。,用于核对控股股东身份和最终持股，不作为股本变化核心事件。,yes,confirmed,lzr,2026-07-13
SEC013,辅助章节-主要股东及实际控制人,（二）其他持有公司5%以上股份的主要股东,81,90,80,89,high,,reference_only,reference,5%以上股东信息可用于核对投资机构及关联关系。,adjust,（二）其他持有公司5%以上股份的主要股东,81,91,reference,PDF第81页出现“（二）其他持有公司5%以上股份的主要股东”，依次介绍刘云锋、力源信息、富海系和国科系等；第91页完成中科贵银信息后进入“八、发行人股本情况”。,自动结束页90未覆盖第91页最后一名主要股东的收尾信息，人工调整为81-91。,yes,confirmed,lzr,2026-07-13
SEC014,核心章节-发行人股本情况,八、发行人股本情况,91,98,90,97,high,区间含图表/续表提示，应人工检查跨页边界,reference_only,reference,“发行人股本情况”是总括章节；核心快照主要由其子章节提供。,reference_only,八、发行人股本情况,91,98,reference,PDF第91页出现“八、发行人股本情况”，其下依次披露发行前后股本、前十名股东、自然人股东、国有及外资股份、关联关系和特殊类型股东；该部分延续至第98页。,该记录是股本情况父级总括范围，保留为参考导航，核心快照优先使用SEC015和SEC016。,yes,confirmed,lzr,2026-07-13
SEC015,核心章节-发行前股本结构,（一）本次发行前后的股本情况,91,92,90,91,high,,keep,core,发行前后股本情况是最终股本快照与IPO前后总股本核对的核心依据。,adjust,（一）本次发行前后的股本情况,91,93,core,"PDF第91页出现“（一）本次发行前后的股本情况”，披露发行前总股本48,837,074股；股东明细表跨第92页并在第93页以发行前48,837,074股、发行后65,116,099股合计结束。",自动范围91-92漏掉第93页的表尾、发行股本和合计行，人工调整为91-93。,yes,confirmed,lzr,2026-07-13
SEC016,核心章节-发行前股本结构,（二）发行前本公司前十名股东,93,93,92,92,high,,keep,core,发行前前十名股东是最终股权结构快照的核心表格。,keep,（二）发行前本公司前十名股东,93,93,core,"PDF第93页标题为“（二）发行前本公司前十名股东”，列示曾烨、刘云锋等前十名股东，合计持股39,656,020股、占81.20%。",该页是发行前股权结构快照的核心表格，自动范围准确。,yes,confirmed,lzr,2026-07-13
SEC017,核心章节-发行前股本结构,（三）本次发行前的前十名自然人股东及其在发行人处担任职务,93,93,92,92,high,,reference_only,reference,自然人股东及职务有助于主体识别，但不是核心历史变化章节。,adjust,（三）本次发行前的前十名自然人股东及其在发行人处担任职务,93,94,reference,PDF第93页出现“（三）本次发行前的前十名自然人股东及其在发行人处担任职务”，表格在第94页续列沈笑彦、衣嘉平并给出合计。,自动范围仅含第93页，漏掉第94页续表，人工调整为93-94；该节主要用于自然人身份和任职核对。,yes,confirmed,lzr,2026-07-13
SEC018,核心章节-发行前股本结构,（四）发行人股本中国有股份及外资股份情况,94,94,93,93,high,,reference_only,reference,国有和外资股份情况属于股本性质说明，作为补充参考。,reference_only,（四）发行人股本中国有股份及外资股份情况,94,94,reference,"PDF第94页标题为“（四）发行人股本中国有股份及外资股份情况”，披露深创投国有属性及CASREV FUND持股618,000股、占1.27%。",用于核对股份性质和外资股东信息，作为辅助参考。,yes,confirmed,lzr,2026-07-13
